x,y,t
-26,95,1730384581.1594758
-117,190,1730384581.2024767
-212,285,1730384581.245475
-307,380,1730384581.2884748
-402,475,1730384581.332181
-497,570,1730384581.3771987
-592,663,1730384581.4192019
-687,754,1730384581.4632015
-782,839,1730384581.507198
-875,921,1730384581.5491993
-966,995,1730384581.5951977
-1054,1066,1730384581.6381974
-1138,1131,1730384581.6811986
-1220,1191,1730384581.728197
-1297,1243,1730384581.7702014
-1371,1292,1730384581.814199
-1445,1341,1730384581.8574226
-1516,1390,1730384581.9014213
-1586,1436,1730384581.9444222
-1663,1483,1730384581.988
-1735,1529,1730384582.0312068
-1802,1573,1730384582.0762067
-1868,1615,1730384582.1172068
-1926,1659,1730384582.1632066
-1978,1706,1730384582.206207
-2028,1753,1730384582.247319
-2074,1798,1730384582.293454
-2118,1841,1730384582.3356373
-2157,1884,1730384582.3776407
-2192,1926,1730384582.4196405
-2223,1965,1730384582.4626405
-2251,2004,1730384582.50464
-2274,2045,1730384582.5466406
-2294,2087,1730384582.5906405
-2310,2129,1730384582.6306407
-2326,2168,1730384582.6780603
-2340,2207,1730384582.7220676
-2352,2243,1730384582.7640681
-2363,2275,1730384582.8119698
-2373,2310,1730384582.8535109
-2383,2344,1730384582.8965104
-2393,2380,1730384582.9395118
-2383,2417,1730384582.9825106
-2373,2454,1730384583.0285118
-2363,2488,1730384583.0715108
-2353,2518,1730384583.114511
-2343,2554,1730384583.1595109
-2333,2589,1730384583.2005918
-2323,2620,1730384583.2456007
-2313,2650,1730384583.287601
-2297,2680,1730384583.3306007
-2279,2706,1730384583.3775659
-2256,2729,1730384583.4205742
-2233,2752,1730384583.4635737
-2207,2774,1730384583.5105722
-2180,2794,1730384583.5525734
-2155,2812,1730384583.5950937
-2130,2830,1730384583.6380942
-2105,2846,1730384583.682093
-2082,2857,1730384583.7280955
-2057,2867,1730384583.7710955
-2030,2877,1730384583.8140938
-2002,2887,1730384583.8550935
-1974,2887,1730384583.8994153
-1946,2877,1730384583.9434173
-1918,2867,1730384583.9864151
-1891,2857,1730384584.029926
-1866,2847,1730384584.071923
-1844,2836,1730384584.1149223
-1821,2819,1730384584.1599238
-1800,2799,1730384584.2029223
-1779,2778,1730384584.245923
-1759,2755,1730384584.2879238
-1741,2733,1730384584.3319232
-1723,2709,1730384584.377421
-1707,2682,1730384584.4204702
-1695,2653,1730384584.4644692
-1685,2623,1730384584.5114837
-1675,2593,1730384584.5524855
-1665,2558,1730384584.5964863
-1665,2521,1730384584.6374862
-1665,2485,1730384584.680487
-1675,2448,1730384584.7254822
-1685,2411,1730384584.768485
-1695,2372,1730384584.8114848
-1709,2335,1730384584.854439
-1726,2297,1730384584.897692
-1746,2260,1730384584.9446921
-1767,2222,1730384584.9884653
-1788,2182,1730384585.0314744
-1809,2143,1730384585.078315
-1831,2104,1730384585.1203241
-1854,2068,1730384585.1643236
-1884,2033,1730384585.2114174
-1920,1998,1730384585.2524269
-1959,1967,1730384585.297426
-2003,1932,1730384585.3438208
-2047,1897,1730384585.3855104
-2091,1864,1730384585.4295108
-2133,1832,1730384585.4735105
-2175,1801,1730384585.5165102
-2217,1770,1730384585.5615103
