x,y,t
-95,81,1734032044.1397283
-190,162,1734032044.1837275
-285,229,1734032044.8937275
-380,297,1734032044.9397285
-401,237,1734032045.4337296
-424,175,1734032045.5167272
-446,118,1734032045.6427279
-461,55,1734032045.685727
-482,9,1734032045.9737284
-499,-37,1734032046.3497264
-518,-81,1734032046.4327302
-536,-128,1734032046.4767296
-556,-168,1734032046.5607305
-572,-199,1734032047.7917309
-586,-227,1734032048.0357306
-600,-256,1734032048.204731
-612,-286,1734032048.2497299
-625,-316,1734032048.292728
-636,-346,1734032048.33473
-647,-375,1734032048.3777316
-657,-405,1734032048.42273
-667,-430,1734032048.4657297
-678,-450,1734032048.5547292
-688,-468,1734032048.5977306
-698,-489,1734032048.6397285
-708,-510,1734032048.6837301
-719,-528,1734032048.7267292
-729,-542,1734032048.773728
-739,-558,1734032048.816731
-749,-574,1734032048.8597283
-844,-479,1734032058.974813
-815,-545,1734032059.0598147
-788,-619,1734032059.1034524
-761,-699,1734032059.1459682
-735,-784,1734032059.1920862
-711,-875,1734032059.2390947
-686,-961,1734032059.2860956
-664,-1048,1734032059.3300948
-645,-1129,1734032059.3740945
-629,-1204,1734032059.418094
-615,-1275,1734032059.461095
-603,-1340,1734032059.5050955
-593,-1402,1734032059.5480955
-582,-1461,1734032059.594096
-572,-1514,1734032059.641095
-562,-1561,1734032059.6840947
-552,-1604,1734032059.7270951
-542,-1648,1734032059.7760954
-561,-1743,1734032059.8170946
-579,-1838,1734032059.8610933
-589,-1863,1734032060.0660963
-607,-1898,1734032060.561095
-621,-1951,1734032060.608095
-637,-1987,1734032060.650096
-652,-2023,1734032060.6940947
-668,-2056,1734032060.740094
-679,-2087,1734032060.7820957
-690,-2118,1734032060.8270936
-702,-2148,1734032060.8730938
-713,-2176,1734032060.9150949
-723,-2204,1734032060.9590967
-733,-2231,1734032061.002096
-743,-2260,1734032061.0430949
-753,-2288,1734032061.0900946
-763,-2313,1734032061.13162
-773,-2336,1734032061.1756194
-783,-2357,1734032061.2176192
-793,-2378,1734032061.2606194
-803,-2398,1734032061.3076196
-813,-2416,1734032061.3496196
-813,-2430,1734032061.3936186
-823,-2444,1734032061.4376185
-823,-2460,1734032062.0846195
-833,-2476,1734032062.1266193
-843,-2492,1734032062.16862
-853,-2508,1734032062.211619
-863,-2525,1734032062.2586193
-873,-2539,1734032062.3016195
-883,-2555,1734032062.3446193
