x,y,t
-95,-10,1729273222.8283815
-190,1,1729273222.850381
-285,35,1729273222.8693795
-380,88,1729273222.888948
-475,155,1729273222.9093742
-570,231,1729273222.9253829
-665,305,1729273222.950397
-760,367,1729273222.982396
-855,414,1729273223.0023954
-950,451,1729273223.0231
-1045,479,1729273223.0409963
-1140,500,1729273223.0676496
-1235,518,1729273223.086657
-1330,537,1729273223.103672
-1425,562,1729273223.13189
-1497,583,1729273223.1564455
-1553,601,1729273223.179453
-1592,615,1729273223.2004178
-1613,626,1729273223.2184243
-1623,636,1729273223.2374253
-1613,636,1729273223.2614427
-1603,626,1729273223.2794392
-1593,626,1729273223.3014395
-1583,636,1729273223.323636
-1593,646,1729273223.345202
-1606,656,1729273223.365213
-1626,666,1729273223.385213
-1654,676,1729273223.4092128
-1691,686,1729273223.4252272
-1729,686,1729273223.4472272
-1766,676,1729273223.4692276
-1805,664,1729273223.4922287
-1851,650,1729273223.5142274
-1906,638,1729273223.5272272
-1963,624,1729273223.5502272
-2021,609,1729273223.575231
-2087,595,1729273223.5952268
-2176,580,1729273223.637227
-2248,566,1729273223.6562278
-2315,550,1729273223.6786046
-2382,532,1729273223.700613
-2448,510,1729273223.7196138
-2506,485,1729273223.7496133
-2552,457,1729273223.7726135
-2595,425,1729273223.792614
-2633,390,1729273223.8076131
-2663,353,1729273223.8286273
-2685,313,1729273223.856609
-2701,269,1729273223.8895242
-2711,211,1729273223.9121134
-2721,151,1729273223.9301202
-2731,89,1729273223.9551203
-2731,24,1729273223.9781206
-2731,-44,1729273224.0041227
-2741,-116,1729273224.0251205
-2741,-189,1729273224.046121
-2731,-264,1729273224.0661206
-2721,-344,1729273224.0861204
-2711,-430,1729273224.1097023
-2701,-518,1729273224.1317093
-2691,-604,1729273224.151709
-2701,-685,1729273224.1753693
-2711,-766,1729273224.1953974
-2721,-849,1729273224.2173986
-2731,-931,1729273224.2383933
-2742,-1013,1729273224.2583935
-2752,-1099,1729273224.278396
-2762,-1192,1729273224.2989593
-2762,-1287,1729273224.3269837
-2752,-1382,1729273224.345547
-2742,-1477,1729273224.3685465
-2732,-1572,1729273224.392546
-2732,-1667,1729273224.4145463
-2742,-1762,1729273224.4405463
-2753,-1853,1729273224.463546
-2769,-1941,1729273224.4825482
-2787,-2027,1729273224.5045464
-2808,-2113,1729273224.525546
-2835,-2198,1729273224.551546
-2875,-2283,1729273224.5685463
-2921,-2369,1729273224.5890958
-2975,-2456,1729273224.6141033
-3035,-2544,1729273224.6341028
-3107,-2635,1729273224.6621034
-3200,-2727,1729273224.6921036
-3295,-2818,1729273224.713103
-3390,-2908,1729273224.7361028
-3485,-2996,1729273224.7551036
-3580,-3082,1729273224.778391
-3675,-3167,1729273224.7953985
-3770,-3251,1729273224.8164299
-3865,-3334,1729273224.83843
-3960,-3416,1729273224.8598742
-4055,-3500,1729273224.8808742
-4150,-3584,1729273224.9008741
-4245,-3669,1729273224.9258745
-4340,-3755,1729273224.9458752
-4435,-3841,1729273224.9688761
-4530,-3922,1729273224.9958744
-4625,-3996,1729273225.0328746
-4703,-4056,1729273225.0578747
-4777,-4107,1729273225.0848742
-4835,-4137,1729273225.1068764
-4894,-4160,1729273225.1268744
-4959,-4178,1729273225.1450982
-5028,-4194,1729273225.1661077
-5103,-4206,1729273225.1901078
-5198,-4217,1729273225.2181077
-5293,-4227,1729273225.2361233
-5388,-4237,1729273225.2561228
-5483,-4247,1729273225.2778735
-5578,-4257,1729273225.2958817
-5673,-4267,1729273225.3168964
-5768,-4277,1729273225.3398993
-5863,-4287,1729273225.361813
-5958,-4297,1729273225.3817883
-6053,-4307,1729273225.4037852
-6148,-4317,1729273225.425785
-6243,-4327,1729273225.4497857
-6338,-4337,1729273225.4707854
-6433,-4347,1729273225.4847887
-6528,-4357,1729273225.509116
-6623,-4367,1729273225.5281231
-6718,-4367,1729273225.5501401
-6813,-4367,1729273225.569137
-6908,-4357,1729273225.5911376
-7003,-4347,1729273225.6131372
-7098,-4347,1729273225.6289847
-7193,-4357,1729273225.6539848
-7288,-4367,1729273225.6749854
-7383,-4377,1729273225.6989856
-7478,-4387,1729273225.7129846
-7573,-4397,1729273225.7359843
-7668,-4407,1729273225.7609847
-7763,-4417,1729273225.7819867
-7858,-4427,1729273225.8009846
-7953,-4437,1729273225.8219855
-8048,-4447,1729273225.842985
-8143,-4457,1729273225.8658338
-8238,-4467,1729273225.8836322
-8333,-4467,1729273225.9046454
-8428,-4457,1729273225.927646
-8523,-4447,1729273225.9501655
-8618,-4437,1729273225.9721653
-8713,-4427,1729273225.9941645
-8808,-4417,1729273226.015165
-8903,-4407,1729273226.034165
-8998,-4397,1729273226.0528302
-9093,-4387,1729273226.0768383
-9188,-4377,1729273226.0978382
-9283,-4367,1729273226.117852
-9378,-4357,1729273226.1378522
-9473,-4347,1729273226.160852
-9568,-4337,1729273226.1788518
-9663,-4327,1729273226.199681
-9758,-4317,1729273226.2196882
-9853,-4307,1729273226.2434845
-9948,-4297,1729273226.2659323
-10043,-4287,1729273226.2859395
-10138,-4277,1729273226.3113933
-10233,-4267,1729273226.333119
-10328,-4267,1729273226.3511264
